Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
Pt1.baseline	0.000685667215650277	0.0204810721691385	0.00422755549190747	0.00377975764863795	0.00841709864275121	0.00223083014201715	1.94149037785463e-05	0.960158603786119
Pt2.baseline	1.93385572475601e-05	0.00184289452426865	0.0143020514018469	1.715641081448e-06	2.72811185376116e-05	0.0558535692207155	3.01296348770632e-05	0.927923019901425
Pt4.baseline	0.000437369857959926	0.00130733147749016	0.00415450859459281	0.00352938568708813	0.00289785957967461	0.00361567926399377	7.22881648654963e-09	0.984057858310384
Pt5.baseline	0.000632296074304483	0.00932131604011326	0.0315955601917236	0.0104585072426981	0.0135655902837917	0.00236939991635825	6.066113190146e-11	0.932057330190349
Pt6.baseline	9.66007233754605e-09	0.0114975500047882	0.00392707548227324	0.00200188205957784	0.00370645574800146	0.00675669467677007	3.49328978417502e-08	0.972110297435619
Pt7.baseline	6.78722204809536e-05	0.00468836610888623	0.00756669206910494	0.00487934637859175	0.00378945371442217	0.00313781795527024	2.37464919238192e-05	0.97584670506132
Pt8.baseline	0.000700854417668648	0.00868113791158858	0.00246123329448923	0.00125850903876041	0.00288514497373507	0.00288126250911668	2.85578663489004e-08	0.981131829296775
Pt9.baseline	0.00305310549975209	0.0132320592257273	0.00999333132791808	0.00921985117749962	0.0118383369343122	0.00948254115515594	0.000906903655055141	0.94227387102458
Pt10.baseline	4.16782636548846e-08	0.0172350196669488	0.00495223257412062	0.00186974648493754	0.00351565751221685	0.00110017047061739	0.000166179256697326	0.971160952356198
Pt12.baseline	2.99427312008205e-07	0.0119291204747802	0.00485300589716545	4.6516032499083e-05	0.00215849825545503	0.00161753655112519	2.84520810024111e-08	0.979394994909582
Pt13.baseline	0.000270546521107251	0.0280189150471622	0.0052415930503311	0.00305063623219062	0.00924690792008524	0.0118766637901509	5.61870513323991e-09	0.942294731820268
Pt14.baseline	7.22941341978509e-05	0.0546447401126866	0.00621651134585904	1.05836984131615e-05	0.0140644800913303	0.00984792916459803	1.22772277200507e-08	0.915143449175687
Pt15.baseline	0.0026240452515905	0.00492939569494198	0.000520616360948458	0.00330579851911928	0.00390084182264623	0.0102059933967914	2.68737835703733e-05	0.974486435170392
Pt16.OnTx	0.000307696002316166	0.0197865698287246	0.0222198333860016	3.60476391297072e-08	0.0576313500850336	0.02195000165047	6.37460681985439e-09	0.878104506625208
Pt19.baseline	0.00201182594927881	0.0541662629918452	0.00239062978504754	8.76259939011936e-07	0.00491592013626116	0.00755393827088775	0.000367224383042002	0.928593322223699
Pt20.baseline	0.00697006110769511	0.0012363800341988	4.46806052854793e-08	0.0104529563393642	0.00128005239516069	0.00636137837966677	9.40477097314063e-10	0.973699126122832
Pt22.baseline	0.0171463143621581	0.201448741897134	1.23448130827464e-06	4.91468940639827e-06	0.0303954192292172	0.0368499905193147	0.000201879465149177	0.713951505356312
Pt23.baseline	0.000399913195939893	0.0150005382416411	0.000893230714344515	0.000195072162006598	0.00619125415773061	0.0125966782166786	4.35566112918226e-05	0.964679756700367
Pt25.baseline	0.0054776978407386	0.00560115471549937	5.27930401154028e-06	0.00376011184714495	0.00387433006277516	0.0195482215374633	0.000231568840421794	0.961501635851945
Pt27A.baseline	0.0016578563832112	0.0370528108206071	0.0117931883920744	0.0105572088407949	0.0130039130231451	0.0194396636186724	1.76442084966873e-08	0.906495341277286
Pt27B.baseline	0.000558021993094965	0.0293787452267098	0.0177606033075208	0.0128490121549699	0.00908332950277389	0.0130414801396984	4.97099711380614e-11	0.917328807625522
Pt28.baseline	0.000247616839192091	0.0106244984717255	0.0106231577154326	0.0165989535346603	0.0175387896911155	0.0026558574227426	6.60461279888476e-09	0.941711119720519
Pt29.baseline	0.00123554595090207	0.00418325738180676	9.7690093735561e-05	0.00998503990349248	0.00241575004935693	0.0098102468733229	1.96837132878829e-09	0.972272467779012
Pt31.baseline	0.0027691756264056	0.141109661974136	0.00599683202077763	9.37887275901557e-07	0.0252978421157411	0.0127030534402017	0.00133966190324858	0.810782835032213
Pt32.baseline	0.000245038600836363	0.213898345870305	0.0327001726206773	4.26880650947451e-06	0.0364491939759584	0.013089224656172	3.1581829322862e-05	0.703582173640219
Pt35.baseline	0.000878731477459132	0.0331103210447238	0.0212759459927311	0.0129442112583138	0.0283188059836996	0.0225690898623743	5.65803974456778e-08	0.880902837800301
Pt37.baseline	0.0048997479298563	0.00376809586119299	0.017313950063052	7.11303291180362e-06	0.000274943917659213	0.0387607554181909	1.84610037743182e-07	0.934975209167099
Pt38.baseline	0.540855954122609	0.00601360187205823	9.34368167663159e-06	6.12581014913668e-06	0.019187658017557	0.0163090516485622	0.00875939831636141	0.408858866531027
